Open,High,Low,Close,Volume,Target
65.93,69.38,65.71,68.58,2432185,68.08
48.02,48.22,45.66,45.8,2303620,45.67
49.68,50.22,48.35,48.59,2141345,48.82
70.03,70.4,67.63,69.06,2115382,71.14
65.59,67.45,65.15,66.82,2093741,67.07
59.07,59.14,56.88,58.81,2082342,56.59
58.88,59.35,54.75,55.69,2073275,56.25
63.5,64.77,63.43,63.8,2059016,64.3
49.07,51.77,49.05,50.91,2045657,51.69
50.27,50.83,48.63,49.61,2040308,48.4
46.86,46.96,45.76,46.44,2039700,45.96
46.31,46.72,45.84,45.96,2039700,47.23
53.33,54.48,52.23,52.39,2033624,52.48
63.92,64.18,61.25,61.79,2015703,61.15
65.1,65.4,63.42,64.15,1980123,63.39
63.33,64.48,63.13,64.4,1972478,63.98
65.99,66.3,64.47,65.45,1954071,64.15
45.96,46.39,44.55,44.66,1934607,44.27
44.9,46.36,44.89,46.33,1934607,47.05
53.42,53.77,50.52,51.09,1895422,52.54
56.96,57.92,56.41,56.81,1891315,57.17
57.12,58.12,57.04,58.05,1880801,58.95
61.7,62.09,60.27,61.15,1866093,59.2
44.89,45.94,43.1,45.34,1861909,44.27
45.86,46.16,45.22,45.67,1856316,45.91
49.31,50.5,49.15,49.89,1849943,49.89
48.8,49.94,48.19,49.87,1841408,49.99
47.08,47.35,46.56,47.29,1833689,48.66
47.89,48.2,46.15,46.57,1824316,46.44
45.95,47.47,45.58,47.23,1823491,47.29
64.43,64.89,63.39,63.73,1819157,63.97
71.15,71.92,70.42,71.31,1805032,71.49
64.42,66.05,64.34,65.61,1798089,65.51
27.28,29.65,26.98,29.07,1789698,29.77
45.74,46.48,45.11,45.49,1789416,46.08
63.3,65.86,63.2,65.51,1788317,66.82
48.39,48.78,47.11,48.43,1785814,49.12
69.89,71.26,69.5,70.37,1767135,68.59
60.43,60.77,58.07,59.2,1764311,59.29
52.83,52.91,50.06,50.2,1757221,49.61
45.55,46.64,43.77,46.51,1748544,46.48
28.39,29.16,27.26,27.34,1746219,27.29
27.34,27.47,26.07,27.29,1746219,29.07
49.09,49.26,47.27,47.48,1720806,48.07
58.02,58.56,56.85,57.14,1713480,56.6
70.65,70.8,67.42,67.88,1709587,66.73
74.2,74.26,70.02,70.38,1706010,70.33
68.24,68.3,66.56,67.04,1705457,65.81
43.41,44.06,42.12,42.52,1703024,42.78
67.55,67.55,65.8,66.73,1694846,68.21
50.21,50.43,48.37,49.16,1694138,49.59
51.15,51.48,50.41,50.87,1692255,50.05
55.27,57.37,55.13,56.25,1691177,56.46
50.92,51.2,49.73,49.84,1690478,50.97
61.92,63.48,61.8,62.96,1688349,63.57
58.94,59.57,58.13,59.14,1679669,58.81
45.03,47.42,44.39,47.12,1678371,47.7
70.2,71.8,69.98,70.78,1669502,72.08
44.56,45.8,43.86,45.77,1667653,45.49
49.94,50.98,49.62,50.97,1664588,51.49
70.05,71.36,69.85,71.14,1663486,71.36
55.97,57.61,55.66,57.35,1658990,57.2
61.31,61.41,57.33,57.91,1656888,58.63
67.07,67.34,65.51,65.81,1656602,64.75
40.42,42.23,40.09,41.68,1652001,41.57
50.86,52.77,50.79,52.37,1645958,53.05
52.33,53.49,52.13,53.05,1645958,52.55
51.45,52.63,51.23,52.38,1644249,53.13
61.74,63.18,61.2,61.67,1643336,60.67
47.59,47.75,45.32,45.48,1642502,46.51
50.02,50.58,49.39,50.53,1626655,50.32
51.76,54.22,50.6,52.61,1621654,51
44.58,46.31,43.97,45.99,1619208,46.44
61.33,61.4,59.95,60.12,1615637,62.04
37.65,39.83,37.46,39.64,1613844,40.36
58.98,60.9,58.2,60.6,1612908,61.34
52.88,54.92,52.37,54.5,1609295,54.93
51.07,53.45,50.92,52.28,1608220,52.51
30.18,30.61,27.78,28.31,1603711,27.34
61.81,62.75,61.6,62.58,1601335,62.46
68.75,69.44,67.78,68.08,1599731,70.53
65.88,66.66,65.08,65.51,1596241,66.14
54.73,57.47,54.21,57.1,1595894,55.23
37.65,38.58,36.64,37.84,1595710,37.2
51.7,52.94,51.52,52.31,1583292,53.14
29.71,32.75,29.41,32.75,1582871,31.69
70.6,71.24,69.23,70.33,1582093,71.01
30.39,31.43,28.71,29.13,1579521,31.44
64.48,64.49,63.31,63.58,1576014,63.89
57.39,57.44,52.77,53.43,1574818,54.63
56.46,56.61,53.05,53.5,1571192,53.25
48.34,49.4,48.12,49.3,1569686,49.89
49.31,49.79,48.86,49.17,1568507,49.56
29.18,30.15,28.97,29.77,1566873,29.13
46.46,48.66,46.38,47.89,1565225,48.75
61.65,63.33,60.64,61.04,1563125,61.78
52.44,52.74,50.69,50.77,1561353,51.06
62.3,62.58,60.58,61.15,1558043,60.12
48.59,49.42,48.52,49.16,1557618,49.09
49.8,52.58,49.71,52.36,1556425,52.59
65.34,66.22,64.34,65.54,1551989,68.58
47.72,47.99,46.67,46.78,1549313,47.09
57.89,58.3,55.61,55.75,1549130,55.09
60.75,60.79,59.26,60.19,1548001,59.93
47.28,48.98,47.15,48.66,1547420,49.16
48.51,48.87,47.86,48.75,1537338,49.04
63.41,63.67,63.09,63.57,1534921,63.8
64.4,64.79,63.68,63.98,1532414,64.61
71.56,72.3,71.09,71.49,1531313,71.28
45.38,45.41,43.8,44.36,1529031,44.55
48.43,49.16,48.17,49.12,1524737,48.8
49.61,51.58,49.16,51.17,1523014,50.87
64.07,65.99,64.05,65.55,1521881,66.3
74.23,74.96,72.53,72.94,1520066,73.8
68.75,69.56,67.98,68.29,1519806,68.38
64.22,64.7,64.05,64.61,1517939,63.58
57.45,57.83,56.55,56.6,1515645,57.04
60.71,61.64,59.72,61.34,1515184,61.68
50.95,51.62,50.87,51.49,1511052,52.39
53.35,54.6,53.27,53.9,1508175,54.41
52.66,52.78,51.23,52.41,1506580,53.1
52.38,52.62,50.13,50.85,1504973,50.71
44.37,44.69,42.95,43.34,1503934,42.52
57.27,57.69,56.83,57.2,1502309,56.81
52.33,53.06,51.94,52.54,1500220,54.5
55.38,55.61,54.22,54.69,1498915,53.63
53.94,54.21,51.8,52.64,1496348,52.72
63.43,64.29,63.12,63.39,1495610,61.79
55.25,56.68,55.18,56.55,1494407,56.42
55.93,56.34,54,55.09,1492577,54.85
46.07,46.56,45.58,45.95,1491597,44.66
48.7,49.24,48.25,49.04,1489599,49.71
41.69,42.38,41.25,41.57,1489132,41.44
48.89,48.91,47.21,47.53,1488313,47.83
70.68,73.06,70.56,72.76,1487664,73.45
29.14,31.46,28.74,31.44,1487268,30.64
45.67,46.52,45.2,45.33,1487149,44.36
46.8,47.19,46.46,47.09,1485544,48.51
55,55.24,52.84,53.94,1484335,56.26
68.21,70.91,67.72,70.53,1483778,72.76
49,49.72,48.9,49.56,1481387,48.59
61.37,61.97,60.27,60.71,1480803,60.96
66.68,68.91,66.56,68.47,1478871,68.29
68.95,69.38,67.54,67.7,1478857,68.05
46.08,46.74,45.8,46.54,1477580,46.02
46.92,47.34,46.22,46.42,1476887,45.66
62.64,62.99,62.05,62.46,1475959,62.1
52.51,53.41,52.38,52.48,1475791,50.77
43.73,46.05,43.57,45.79,1475141,45.31
85.31,89.63,85.11,89.43,1472088,92.07
45.08,45.62,43.87,44.89,1471667,46.16
49.46,49.9,46.11,46.6,1471013,48.17
46.2,47.76,46.05,47.36,1469733,47.82
43.27,43.79,42.22,43.73,1467358,45.79
61.64,62.42,60.4,60.67,1467201,60.19
63.7,63.79,61.81,62.06,1466267,63.42
60.39,61.97,60.28,61.63,1464322,62.01
52.86,53.41,50.6,51.68,1461549,52.59
53.02,53.17,52.3,52.55,1459818,52.64
72.17,72.43,69.43,69.75,1458202,68.65
52.93,53.3,50.08,51.49,1455656,52.61
47.49,47.9,47.02,47.55,1455585,46.78
59.12,60.83,59.1,59.29,1455165,59.19
49.59,50.08,48.33,48.4,1453193,48.41
60.7,61.28,58.68,59.93,1449582,55.69
46.93,48.74,46.78,48.51,1449511,47.53
49.59,49.73,48.54,49.39,1449308,49.17
46.55,46.65,44.58,45.12,1447908,45.49
54.28,55.37,53.62,53.79,1446565,55.26
52.53,53.52,52.25,52.53,1445615,51.41
63.57,64.5,63.06,64.3,1443182,63.73
48,48.41,47.41,47.95,1442513,47.98
52.05,52.86,51.22,51.56,1442197,51.67
56.72,56.77,54.81,55.7,1440405,55.33
47.58,48.27,47,48.07,1439707,48.23
44.56,44.83,43.66,44.55,1438944,45.77
57.85,57.99,53.59,53.95,1437514,55.66
54.38,57.37,54.35,57.07,1436154,57.43
50.75,50.82,49.1,49.29,1435264,49.58
67.49,68.14,66.92,67.93,1433058,68.43
49.85,50.41,49.18,50.17,1431841,49.16
36.37,38.36,36.25,38.2,1430577,38.02
52.18,52.78,51.37,52.59,1429410,51.59
49.17,49.81,48.86,49.71,1427631,50.17
84.28,84.35,82.53,83.66,1423536,85.93
48.8,49.65,48.55,49.59,1420393,49.03
60.27,62.18,60.14,62.04,1420169,61.36
59.29,60.28,58.56,60.23,1419070,59.98
65.13,65.18,62.28,63.3,1418890,63.5
53.42,54.63,52.11,53.25,1418721,53.48
49.22,49.43,48.27,49.22,1415998,49.14
47.41,48.39,46.96,47.97,1415108,45.8
45.44,46.28,44.99,46.08,1414057,46.54
65.07,66.07,64.81,65.95,1413631,65.74
47.87,49.63,47.75,48.81,1411079,48.24
49.14,49.33,48.63,49.09,1409251,47.48
64.76,66.25,64.63,65.8,1402838,65.45
50.68,52.28,50.39,52.22,1402720,51.88
31.18,31.18,29.15,29.7,1402155,29.98
44.99,45.33,43.44,43.64,1400582,43.7
53.96,54.68,53.08,54.41,1400012,55.59
45.46,45.93,43.24,43.27,1399224,44.52
46.08,47.73,45.82,47.33,1399019,45.72
45.73,46.34,45.05,45.31,1395878,44.94
61.55,61.83,60.18,60.99,1395837,61.25
51.2,53.27,50.35,52.58,1395465,51.2
54.66,54.82,50.15,50.42,1395342,51.63
38.16,38.45,37.22,38.02,1394769,38.47
64.94,65.57,64.22,65.52,1394281,64.73
63.72,65.55,63.58,65.17,1394054,64.3
32.15,34.78,31.76,33.73,1392737,33.76
36.27,38.09,36.09,37.98,1392057,36.33
32.68,33.58,31.55,31.69,1390461,31.01
72.68,72.76,70.51,70.97,1390392,71.34
50.8,51.44,49.97,51.06,1390140,52.03
67,67.09,64.29,65.06,1389982,65.69
56.7,57.22,56.09,57.04,1389564,57.3
68.15,69.34,67.17,68.57,1388909,67.25
58.95,58.99,57.55,58.11,1387661,57.99
59.26,60.06,57.07,57.62,1387580,56.78
69.85,70.84,69.51,70.73,1386945,69.06
45.12,49.3,43.61,48.16,1385866,44.19
68.22,69.03,67.14,68.64,1384486,67.7
59.14,59.43,56.09,56.25,1384150,57.34
52.47,54.05,52.29,53.1,1383913,53.9
56.74,56.85,53.97,55.23,1382042,54.47
44.53,46.92,44.52,46.62,1381139,45.12
46.41,46.98,45.76,46.48,1380776,46.16
63.61,63.68,60.95,61.81,1380674,61.94
49.59,49.96,48.78,49.03,1379470,49.58
67.18,67.76,66.7,67.39,1378834,66.22
69.09,69.37,66.32,66.94,1375698,66.81
61.96,62.21,61.59,62.01,1374901,61.44
30.68,31.71,30.11,30.57,1374769,31.22
30.58,31.75,30.3,31.22,1374769,29.7
53.24,54.93,53.09,54.23,1373586,53.79
40.12,40.12,37.53,37.64,1371460,37.84
67.53,70.01,67.48,69.25,1370875,70.37
66.75,67.33,66,67.07,1370398,67.39
40.22,41.19,39.15,39.35,1369524,41.52
54.32,55.18,53.54,54.93,1368891,57.1
53.46,56.67,53.38,55.95,1367476,56.53
48.25,49.49,48.04,48.95,1366424,49.34
56.6,57.32,54.72,55.3,1365350,55.63
56.15,56.73,55.66,56.45,1364120,57.16
40.19,40.64,39.26,40.36,1361756,41.68
52.8,54.2,52.25,53.9,1361128,54.15
48.08,48.19,46.77,47.78,1355634,47.38
72.27,74.03,72.2,73.45,1355392,74.15
53.04,53.05,50.72,51.14,1353694,52.28
59.12,60.38,59.04,59.94,1351980,59.41
62.17,62.49,60.66,61.4,1350351,62.12
70.24,70.28,68.35,68.59,1350242,68.99
47.59,48.21,47.36,47.83,1349761,48.41
62.79,63.44,61.36,61.64,1349655,60.99
65.71,66.04,64.57,64.75,1349394,65.52
49.8,54.2,49.73,51.56,1348890,48.7
53.13,54.13,52.92,53.87,1345949,52.88
48.52,48.98,47.98,48.82,1345667,47.59
30.11,31.34,29.38,29.44,1345570,28.33
71.23,71.89,70.56,71.36,1345300,70.7
36.61,37.88,36.44,37.77,1343621,37.53
51.32,53.42,51.03,52.67,1342467,53.56
74.08,75.27,72.73,74.14,1342167,72.94
43.75,44.33,43.3,43.7,1342064,43.23
45.31,45.63,44.27,44.27,1341181,43.13
44.93,45.38,44.43,44.81,1339826,45.34
61.51,62.65,61.43,61.79,1339441,61.68
54.65,55.22,53.89,54.3,1339018,54.54
53.43,53.52,52.91,53.38,1337064,53.99
52.43,53.21,52.43,53.13,1335547,53.87
48.17,48.84,44.16,44.19,1335539,46.05
46.48,47.46,46.32,47.32,1334047,46.92
48.36,48.43,47.06,47.43,1333426,47.87
65.25,66.35,64.91,66.14,1333316,65.56
57.09,58.48,57.01,58.26,1333030,58.61
53.4,53.74,52.73,52.81,1331856,52.89
50.38,50.82,49.73,49.9,1330957,50.69
51.95,52.88,50.94,51.15,1330725,52.58
46.13,46.95,45.91,46.89,1329160,48.36
71.02,71.59,70.66,71.49,1327746,71.49
45.59,46.51,44.74,46.06,1325949,44.95
51.82,52.37,50.73,50.77,1325787,52.37
53.52,54.85,51.67,54.02,1324961,51.17
53.1,54.32,52.62,53.99,1323484,53.26
61.37,62.34,60.85,62.02,1323312,62.87
46.34,48.83,45.95,48.49,1321981,47.91
52.23,53.92,52.09,53.8,1321981,53.01
30.98,31.38,29.59,30.13,1321735,28.31
37.88,38.98,36.87,37.2,1320644,36.55
63.59,63.64,62.06,63.37,1319181,63.54
53.95,54.51,52.04,53.01,1319074,52.62
56.43,56.51,54.52,56.07,1317067,56.79
58.03,58.76,57.2,57.4,1316425,55.75
37.95,38.38,36.16,36.33,1316137,38.2
50.27,51.11,50.13,50.69,1315904,50.55
66.42,66.75,65.56,66.52,1314171,68.47
57.25,58.08,56.91,57.99,1311591,57.14
51.06,51.72,50.19,51.69,1310642,51.01
62.18,63.34,61.82,63.08,1310062,64.4
48.13,48.3,47.16,48.23,1309637,47.74
48.73,49.95,48.31,49.78,1308202,52.36
54.9,55.33,53.77,54.47,1306008,54.87
46,47.01,45.66,46.44,1305445,46.38
56.85,57.53,56.69,57.17,1304422,56.74
69.55,69.66,65.74,66.43,1300668,66.82
57.52,58.36,56.21,56.78,1300012,55.3
58.4,60.53,58.35,60.43,1297142,60.2
46.07,46.13,44.8,44.95,1296220,43.64
49.55,51.06,49.54,50.92,1295833,51.3
48.12,48.44,47.73,48.23,1294679,49.3
51.48,51.87,51.05,51.29,1293944,48.67
51.3,51.99,48.47,48.67,1293944,49.87
